RISKCODE,KINDCODE,AGE,SEX,USEYEARS,policycode,YEARS,Device_ID,Counts
商业险费改前,车损险,36,2,5,P28,1,863158020784460,0
商业险费改前,盗抢险,36,2,5,P28,1,863158020784460,0
商业险费改前,车上人员险乘客,36,2,5,P28,1,863158020784460,0
商业险费改前,三者险,36,2,5,P28,1,863158020784460,0
商业险费改前,车上人员险乘客,49,1,3,P29,1,863158026703381,0
商业险费改前,车上人员险驾驶,49,1,3,P29,1,863158026703381,0
商业险费改前,三者险,49,1,3,P29,1,863158026703381,0
商业险费改前,玻璃破碎险,49,1,3,P29,1,863158026703381,0
商业险费改前,车损险,49,1,3,P29,1,863158026703381,0
商业险费改前,玻璃破碎险,23,1,1,P30,1,863158026709198,0
商业险费改前,车损险,23,1,1,P30,1,863158026709198,0
商业险费改前,划痕险,23,1,1,P30,1,863158026709198,1
商业险费改前,车上人员险驾驶,23,1,1,P30,1,863158026709198,0
商业险费改前,三者险,23,1,1,P30,1,863158026709198,0
商业险费改前,车上人员险乘客,23,1,1,P30,1,863158026709198,0
商业险费改前,盗抢险,23,1,1,P30,1,863158026709198,0
商业险费改前,三者险,27,1,0,P31,1,863158026731564,0
商业险费改前,车损险,27,1,0,P31,1,863158026731564,2
商业险费改前,玻璃破碎险,27,1,0,P31,1,863158026731564,0
商业险费改前,盗抢险,27,1,0,P31,1,863158026731564,0
商业险费改前,车上人员险驾驶,27,1,0,P31,1,863158026731564,0
商业险费改前,车上人员险乘客,27,1,0,P31,1,863158026731564,0
商业险费改前,车损险,35,1,8,P32,1,863158020786267,1
商业险费改前,三者险,35,1,8,P32,1,863158020786267,0
商业险费改前,盗抢险,28,1,3,P33,1,863158020782373,0
商业险费改前,玻璃破碎险,28,1,3,P33,1,863158020782373,0
商业险费改前,车损险,28,1,3,P33,1,863158020782373,1
商业险费改前,三者险,28,1,3,P33,1,863158020782373,1
商业险费改前,车上人员险驾驶,33,1,4,P34,1,863158020786648,0
商业险费改前,车上人员险乘客,33,1,4,P34,1,863158020786648,0
商业险费改前,三者险,33,1,4,P34,1,863158020786648,1
商业险费改前,车损险,33,1,4,P34,1,863158020786648,1
商业险费改后,三者险,33,1,5,P35,0.104109589041096,863158020786648,0
商业险费改后,车损险,33,1,5,P35,0.104109589041096,863158020786648,0
交强险,交强险,31,1,2,P36,1,863158020786648,0
交强险,交强险,37,1,3,P37,1,863158020783934,0
交强险,交强险,31,2,4,P38,1,863158020763100,0
交强险,交强险,38,1,2,P39,1,863158020783777,1
交强险,交强险,29,2,3,P40,1,863158020783298,2
交强险,交强险,39,1,3,P41,1,863158020782779,0
交强险,交强险,27,1,2,P42,1,863158020782373,0
交强险,交强险,32,1,4,P43,1,863158020782340,0
交强险,交强险,31,1,3,P44,1,863158020786648,0
交强险,交强险,31,1,1,P45,1,863158020785418,1
交强险,交强险,37,2,6,P46,1,863158020784460,0
交强险,交强险,38,1,4,P47,1,863158020783934,0
交强险,交强险,50,1,4,P48,1,863158026703381,0
交强险,交强险,32,1,2,P49,1,863158020785418,0
交强险,交强险,39,1,5,P50,0.865753424657534,863158020783934,1
交强险,交强险,31,1,7,P51,0.942465753424658,863158020784460,0
交强险,交强险,51,1,5,P52,0.923287671232877,863158026703381,0
交强险,交强险,35,1,9,P53,0.750684931506849,863158020786267,0
交强险,交强险,27,1,3,P54,0.208219178082192,863158020782373,0
商业险费改前,车上人员险乘客,31,1,2,P56,1,863158020786648,0
商业险费改前,车损险,31,1,2,P56,1,863158020786648,0
商业险费改前,车上人员险驾驶,31,1,2,P56,1,863158020786648,0
商业险费改前,三者险,31,1,2,P56,1,863158020786648,0
商业险费改前,玻璃破碎险,44,1,2,P57,1,866699027794215,0
商业险费改前,三者险,44,1,2,P57,1,866699027794215,0
商业险费改前,车损险,44,1,2,P57,1,866699027794215,0
商业险费改前,盗抢险,37,1,3,P58,1,863158020783934,0
商业险费改前,三者险,37,1,3,P58,1,863158020783934,0
商业险费改前,玻璃破碎险,37,1,3,P58,1,863158020783934,0
商业险费改前,车损险,37,1,3,P58,1,863158020783934,1
商业险费改前,三者险,31,2,4,P59,1,863158020763100,0
商业险费改前,玻璃破碎险,31,2,4,P59,1,863158020763100,0
商业险费改前,车损险,31,2,4,P59,1,863158020763100,0
商业险费改前,三者险,38,1,2,P60,1,863158020783777,1
商业险费改前,玻璃破碎险,38,1,2,P60,1,863158020783777,0
商业险费改前,车上人员险乘客,38,1,2,P60,1,863158020783777,0
商业险费改前,车上人员险驾驶,38,1,2,P60,1,863158020783777,0
商业险费改前,划痕险,38,1,2,P60,1,863158020783777,0
商业险费改前,车损险,38,1,2,P60,1,863158020783777,1
商业险费改前,划痕险,29,2,2,P61,0.00547945205479452,863158020783298,0
商业险费改前,盗抢险,29,2,2,P61,0.00547945205479452,863158020783298,0
商业险费改前,三者险,29,2,2,P61,0.00547945205479452,863158020783298,0
商业险费改前,车损险,29,2,2,P61,0.00547945205479452,863158020783298,0
商业险费改前,三者险,29,2,3,P62,1,863158020783298,1
商业险费改前,划痕险,29,2,3,P62,1,863158020783298,0
商业险费改前,车损险,29,2,3,P62,1,863158020783298,2
商业险费改前,盗抢险,29,2,3,P62,1,863158020783298,0
商业险费改前,车损险,39,1,3,P63,1,863158020782779,0
商业险费改前,车上人员险乘客,39,1,3,P63,1,863158020782779,0
商业险费改前,盗抢险,39,1,3,P63,1,863158020782779,0
商业险费改前,玻璃破碎险,39,1,3,P63,1,863158020782779,0
商业险费改前,车上人员险驾驶,39,1,3,P63,1,863158020782779,0
商业险费改前,三者险,39,1,3,P63,1,863158020782779,0
商业险费改前,车损险,27,1,2,P64,1,863158020782373,0
商业险费改前,车上人员险驾驶,27,1,2,P64,1,863158020782373,0
商业险费改前,盗抢险,27,1,2,P64,1,863158020782373,0
商业险费改前,玻璃破碎险,27,1,2,P64,1,863158020782373,0
商业险费改前,三者险,27,1,2,P64,1,863158020782373,0
商业险费改前,车上人员险乘客,27,1,2,P64,1,863158020782373,0
商业险费改前,三者险,32,1,4,P65,1,863158020782340,0
商业险费改前,玻璃破碎险,32,1,4,P65,1,863158020782340,0
商业险费改前,车损险,32,1,4,P65,1,863158020782340,0
商业险费改前,车上人员险乘客,31,1,3,P66,1,863158020786648,0
商业险费改前,三者险,31,1,3,P66,1,863158020786648,0
商业险费改前,车上人员险驾驶,31,1,3,P66,1,863158020786648,0
商业险费改前,车损险,31,1,3,P66,1,863158020786648,0
商业险费改前,车上人员险驾驶,31,1,1,P67,1,863158020785418,0
商业险费改前,三者险,31,1,1,P67,1,863158020785418,0
商业险费改前,车上人员险乘客,31,1,1,P67,1,863158020785418,0
商业险费改前,划痕险,31,1,1,P67,1,863158020785418,0
商业险费改前,车损险,31,1,1,P67,1,863158020785418,2
商业险费改前,玻璃破碎险,31,1,1,P67,1,863158020785418,0
商业险费改前,三者险,37,2,6,P68,1,863158020784460,0
商业险费改前,车上人员险乘客,37,2,6,P68,1,863158020784460,0
商业险费改前,车损险,37,2,6,P68,1,863158020784460,0
商业险费改前,盗抢险,37,2,6,P68,1,863158020784460,0
商业险费改前,车上人员险驾驶,37,2,6,P68,1,863158020784460,0
商业险费改前,车损险,38,1,4,P69,1,863158020783934,1
商业险费改前,三者险,38,1,4,P69,1,863158020783934,0
商业险费改前,盗抢险,38,1,4,P69,1,863158020783934,0
商业险费改前,玻璃破碎险,38,1,4,P69,1,863158020783934,0
商业险费改前,车损险,45,1,3,P70,1,866699027794215,0
商业险费改前,三者险,45,1,3,P70,1,866699027794215,0
商业险费改前,玻璃破碎险,45,1,3,P70,1,866699027794215,0
商业险费改前,车损险,50,1,4,P71,1,863158026703381,0
商业险费改前,玻璃破碎险,50,1,4,P71,1,863158026703381,0
商业险费改前,车上人员险乘客,50,1,4,P71,1,863158026703381,0
商业险费改前,三者险,50,1,4,P71,1,863158026703381,0
商业险费改前,车上人员险驾驶,50,1,4,P71,1,863158026703381,0
商业险费改前,车上人员险驾驶,32,1,2,P72,1,863158020785418,0
商业险费改前,车损险,32,1,2,P72,1,863158020785418,0
商业险费改前,三者险,32,1,2,P72,1,863158020785418,0
商业险费改前,车上人员险乘客,32,1,2,P72,1,863158020785418,0
商业险费改前,三者险,39,1,5,P73,0.865753424657534,863158020783934,1
商业险费改前,盗抢险,39,1,5,P73,0.865753424657534,863158020783934,0
商业险费改前,玻璃破碎险,39,1,5,P73,0.865753424657534,863158020783934,0
商业险费改前,车损险,39,1,5,P73,0.865753424657534,863158020783934,0
商业险费改前,三者险,46,1,4,P74,0.832876712328767,866699027794215,0
商业险费改前,车损险,46,1,4,P74,0.832876712328767,866699027794215,0
商业险费改前,玻璃破碎险,46,1,4,P74,0.832876712328767,866699027794215,0
商业险费改前,三者险,38,2,7,P75,0.0876712328767123,863158020784460,0
商业险费改前,车损险,38,2,7,P75,0.0876712328767123,863158020784460,0
商业险费改后,玻璃破碎险,51,1,5,P76,0.90958904109589,863158026703381,0
商业险费改后,车上人员险乘客,51,1,5,P76,0.90958904109589,863158026703381,0
商业险费改后,车损险,51,1,5,P76,0.90958904109589,863158026703381,1
商业险费改后,车上人员险驾驶,51,1,5,P76,0.90958904109589,863158026703381,0
商业险费改后,三者险,51,1,5,P76,0.90958904109589,863158026703381,0
商业险费改后,盗抢险,27,1,3,P77,0.208219178082192,863158020782373,0
商业险费改后,车损险,27,1,3,P77,0.208219178082192,863158020782373,0
商业险费改后,三者险,27,1,3,P77,0.208219178082192,863158020782373,0
商业险费改后,玻璃破碎险,27,1,3,P77,0.208219178082192,863158020782373,0
交强险,交强险,56,1,7,P79,1,863158020785137,0
交强险,交强险,33,2,6,P80,1,863158020757813,0
交强险,交强险,34,2,2,P81,1,863158020757789,0
交强险,交强险,56,1,8,P82,1,863158020785137,1
交强险,交强险,40,2,1,P83,1,863158020781458,0
交强险,交强险,34,2,1,P84,1,863158020755858,0
交强险,交强险,40,1,1,P85,1,863158020782126,0
交强险,交强险,33,2,7,P86,1,863158020757813,1
交强险,交强险,35,2,3,P87,1,863158020757789,0
交强险,交强险,57,1,9,P88,1,863158020785137,0
交强险,交强险,41,2,2,P89,1,863158020781458,0
交强险,交强险,35,2,2,P90,1,863158020755858,0
交强险,交强险,40,1,2,P91,1,863158020782126,1
交强险,交强险,34,2,8,P92,1,863158020757813,1
交强险,交强险,36,2,4,P93,0.797260273972603,863158020757789,1
交强险,交强险,58,1,10,P94,0.334246575342466,863158020785137,0
交强险,交强险,41,1,3,P95,0.136986301369863,863158020782126,0
交强险,交强险,36,2,3,P96,0.142465753424658,863158020755858,0
交强险,交强险,35,2,9,P97,0.106849315068493,863158020757813,0
商业险费改前,三者险,56,1,8,P99,1,863158020785137,1
商业险费改前,车损险,56,1,8,P99,0.898630136986301,863158020785137,1
商业险费改前,三者险,40,2,1,P100,1,863158020781458,0
商业险费改前,车损险,40,2,1,P100,1,863158020781458,0
商业险费改前,车损险,34,2,1,P101,1,863158020755858,0
商业险费改前,三者险,34,2,1,P101,1,863158020755858,0
商业险费改前,盗抢险,33,2,7,P102,1,863158020757813,0
商业险费改前,车损险,33,2,7,P102,1,863158020757813,2
商业险费改前,三者险,33,2,7,P102,1,863158020757813,1
商业险费改前,三者险,56,1,7,P103,1,863158020785137,0
商业险费改前,车损险,56,1,7,P103,1,863158020785137,1
商业险费改前,车上人员险乘客,39,1,0,P104,1,863158020782126,0
商业险费改前,三者险,39,1,0,P104,1,863158020782126,0
商业险费改前,车上人员险驾驶,39,1,0,P104,1,863158020782126,0
商业险费改前,盗抢险,39,1,0,P104,1,863158020782126,0
商业险费改前,车损险,39,1,0,P104,1,863158020782126,0
商业险费改前,车损险,33,2,6,P105,1,863158020757813,1
商业险费改前,三者险,33,2,6,P105,1,863158020757813,0
商业险费改前,车损险,34,2,2,P106,1,863158020757789,1
商业险费改前,玻璃破碎险,34,2,2,P106,1,863158020757789,0
商业险费改前,三者险,34,2,2,P106,1,863158020757789,0
商业险费改前,车上人员险驾驶,39,1,1,P107,1,863158020782126,0
商业险费改前,车损险,39,1,1,P107,1,863158020782126,0
商业险费改前,三者险,39,1,1,P107,1,863158020782126,0
商业险费改前,车上人员险乘客,39,1,1,P107,1,863158020782126,0
商业险费改前,盗抢险,39,1,1,P107,1,863158020782126,0
商业险费改后,玻璃破碎险,35,2,3,P108,1,863158020757789,0
商业险费改后,三者险,35,2,3,P108,1,863158020757789,0
商业险费改后,车损险,35,2,3,P108,1,863158020757789,0
商业险费改后,车损险,57,1,9,P109,1,863158020785137,0
商业险费改后,三者险,57,1,9,P109,1,863158020785137,0
商业险费改后,车损险,41,2,2,P110,1,863158020781458,0
商业险费改后,三者险,41,2,2,P110,1,863158020781458,0
商业险费改后,车损险,35,2,2,P111,1,863158020755858,0
商业险费改后,三者险,35,2,2,P111,1,863158020755858,0
商业险费改后,车上人员险乘客,40,1,2,P112,1,863158020782126,0
商业险费改后,三者险,40,1,2,P112,1,863158020782126,1
商业险费改后,盗抢险,40,1,2,P112,1,863158020782126,0
商业险费改后,车损险,40,1,2,P112,1,863158020782126,0
商业险费改后,车上人员险驾驶,40,1,2,P112,1,863158020782126,0
商业险费改后,车损险,34,2,8,P113,1,863158020757813,0
商业险费改后,三者险,34,2,8,P113,1,863158020757813,1
商业险费改后,车损险,36,2,4,P114,0.797260273972603,863158020757789,0
商业险费改后,三者险,36,2,4,P114,0.797260273972603,863158020757789,1
商业险费改后,车损险,58,1,10,P115,0.334246575342466,863158020785137,0
商业险费改后,三者险,58,1,10,P115,0.334246575342466,863158020785137,0
商业险费改后,三者险,41,1,3,P116,0.136986301369863,863158020782126,0
商业险费改后,车上人员险乘客,41,1,3,P116,0.136986301369863,863158020782126,0
商业险费改后,车上人员险驾驶,41,1,3,P116,0.136986301369863,863158020782126,0
商业险费改后,盗抢险,41,1,3,P116,0.136986301369863,863158020782126,0
商业险费改后,车损险,41,1,3,P116,0.136986301369863,863158020782126,1
商业险费改后,车损险,36,2,3,P117,0.142465753424658,863158020755858,1
商业险费改后,三者险,36,2,3,P117,0.142465753424658,863158020755858,0
商业险费改后,车损险,35,2,9,P118,0.106849315068493,863158020757813,0
商业险费改后,三者险,35,2,9,P118,0.106849315068493,863158020757813,0
交强险,交强险,39,2,0,P120,1,863158020781458,0
交强险,交强险,42,2,3,P121,0.197260273972603,863158020781458,0
商业险费改前,三者险,39,2,0,P122,1,863158020781458,0
商业险费改前,车损险,39,2,0,P122,1,863158020781458,0
商业险费改后,车损险,42,2,3,P123,0.197260273972603,863158020781458,0
商业险费改后,三者险,42,2,3,P123,0.197260273972603,863158020781458,0
交强险,交强险,29,2,3,P124,1,863158020758845,0
交强险,交强险,30,2,4,P125,1,863158020758845,0
交强险,交强险,30,2,5,P126,1,863158020758845,0
交强险,交强险,32,2,6,P127,0.128767123287671,863158020758845,0
商业险费改前,三者险,29,2,3,P128,1,863158020758845,0
商业险费改前,车损险,29,2,3,P128,1,863158020758845,0
商业险费改前,车损险,30,2,4,P129,1,863158020758845,0
商业险费改前,三者险,30,2,4,P129,1,863158020758845,0
商业险费改后,三者险,31,2,5,P130,1,863158020758845,0
商业险费改后,车损险,31,2,5,P130,1,863158020758845,0
商业险费改后,车损险,32,2,6,P131,0.128767123287671,863158020758845,0
商业险费改后,三者险,32,2,6,P131,0.128767123287671,863158020758845,0
交强险,交强险,26,1,0,P132,1,863158020757797,0
交强险,交强险,27,1,0,P133,1,863158020757797,0
交强险,交强险,28,1,1,P134,0.449315068493151,863158020757797,0
商业险费改前,车损险,26,1,0,P135,1,863158020757797,0
商业险费改前,盗抢险,26,1,0,P135,1,863158020757797,0
商业险费改前,三者险,26,1,0,P135,1,863158020757797,0
商业险费改后,车损险,27,1,0,P136,1,863158020757797,0
商业险费改后,盗抢险,27,1,0,P136,1,863158020757797,0
商业险费改后,三者险,27,1,0,P136,1,863158020757797,0
商业险费改后,车上人员险乘客,28,1,1,P137,0.449315068493151,863158020757797,0
商业险费改后,车上人员险驾驶,28,1,1,P137,0.449315068493151,863158020757797,0
商业险费改后,车损险,28,1,1,P137,0.449315068493151,863158020757797,0
商业险费改后,盗抢险,28,1,1,P137,0.449315068493151,863158020757797,0
商业险费改后,三者险,28,1,1,P137,0.449315068493151,863158020757797,0
交强险,交强险,34,1,2,P138,1,863158020777969,1
商业险费改前,车上人员险驾驶,33,1,2,P139,0.712328767123288,863158020777969,0
商业险费改前,三者险,33,1,2,P139,1,863158020777969,1
商业险费改前,车损险,33,1,2,P139,1,863158020777969,1
交强险,交强险,40,2,0,P140,1,863158020785202,0
交强险,交强险,30,2,0,P141,1,863158020757268,0
交强险,交强险,42,2,1,P142,1,863158020785202,0
交强险,交强险,31,2,1,P143,1,863158020757268,1
交强险,交强险,22,1,1,P144,1,863158020785202,0
交强险,交强险,32,2,2,P145,0.301369863013699,863158020757268,0
交强险,交强险,23,1,2,P146,0.10958904109589,863158020785202,0
商业险费改前,划痕险,41,2,0,P147,0.073972602739726,863158020785202,0
商业险费改前,车上人员险驾驶,41,2,0,P147,0.073972602739726,863158020785202,0
商业险费改前,车损险,41,2,0,P147,0.073972602739726,863158020785202,0
商业险费改前,三者险,41,2,0,P147,0.073972602739726,863158020785202,0
商业险费改前,玻璃破碎险,41,2,0,P147,0.073972602739726,863158020785202,0
商业险费改前,车上人员险乘客,41,2,0,P147,0.073972602739726,863158020785202,0
商业险费改前,盗抢险,41,2,0,P147,0.073972602739726,863158020785202,0
商业险费改前,三者险,41,2,0,P148,1,863158020785202,0
商业险费改前,玻璃破碎险,41,2,0,P148,1,863158020785202,0
商业险费改前,盗抢险,41,2,0,P148,1,863158020785202,0
商业险费改前,车上人员险驾驶,41,2,0,P148,1,863158020785202,0
商业险费改前,车上人员险乘客,41,2,0,P148,1,863158020785202,0
商业险费改前,车损险,41,2,0,P148,1,863158020785202,1
商业险费改前,划痕险,41,2,0,P148,1,863158020785202,1
商业险费改前,玻璃破碎险,31,2,0,P149,1,863158020757268,0
商业险费改前,盗抢险,31,2,0,P149,1,863158020757268,0
商业险费改前,车损险,31,2,0,P149,1,863158020757268,1
商业险费改前,三者险,31,2,0,P149,1,863158020757268,0
商业险费改前,三者险,22,1,1,P150,1,863158020785202,0
商业险费改前,划痕险,22,1,1,P150,1,863158020785202,0
商业险费改前,车损险,22,1,1,P150,1,863158020785202,1
商业险费改前,盗抢险,22,1,1,P150,1,863158020785202,0
商业险费改前,玻璃破碎险,22,1,1,P150,1,863158020785202,0
商业险费改后,车损险,31,2,1,P151,1,863158020757268,0
商业险费改后,三者险,31,2,1,P151,1,863158020757268,1
商业险费改后,玻璃破碎险,31,2,1,P151,1,863158020757268,0
商业险费改后,盗抢险,22,1,2,P152,1,863158020785202,0
商业险费改后,划痕险,22,1,2,P152,1,863158020785202,0
商业险费改后,玻璃破碎险,22,1,2,P152,1,863158020785202,0
商业险费改后,车损险,22,1,2,P152,1,863158020785202,2
商业险费改后,三者险,22,1,2,P152,1,863158020785202,0
商业险费改后,玻璃破碎险,32,2,2,P153,0.298630136986301,863158020757268,0
商业险费改后,三者险,32,2,2,P153,0.298630136986301,863158020757268,0
商业险费改后,车损险,32,2,2,P153,0.298630136986301,863158020757268,0
商业险费改后,车损险,23,1,3,P154,0.0328767123287671,863158020785202,0
商业险费改后,三者险,23,1,3,P154,0.0328767123287671,863158020785202,0
商业险费改后,盗抢险,23,1,3,P154,0.0328767123287671,863158020785202,0
商业险费改后,划痕险,23,1,3,P154,0.0328767123287671,863158020785202,0
商业险费改后,玻璃破碎险,23,1,3,P154,0.0328767123287671,863158020785202,0
交强险,交强险,23,1,2,P155,0.871232876712329,863158026720518,0
商业险费改后,三者险,23,1,2,P157,0.871232876712329,863158026720518,0
交强险,交强险,32,1,1,P159,1,863158020777969,0
商业险费改前,三者险,32,1,1,P160,1,863158020777969,0
商业险费改前,车损险,32,1,1,P160,1,863158020777969,1
交强险,交强险,31,1,2,P161,1,863158020787257,0
交强险,交强险,26,2,5,P162,1,863158020781508,1
交强险,交强险,32,1,3,P163,1,863158020787257,0
交强险,交强险,27,2,6,P164,1,863158020781508,2
交强险,交强险,33,1,4,P165,0.550684931506849,863158020787257,0
商业险费改前,三者险,32,1,2,P166,1,863158020787257,0
商业险费改前,车损险,32,1,2,P166,1,863158020787257,1
商业险费改前,车上人员险驾驶,32,1,2,P166,1,863158020787257,0
商业险费改前,三者险,27,2,5,P167,1,863158020781508,1
商业险费改前,车损险,27,2,5,P167,1,863158020781508,1
商业险费改后,三者险,32,1,3,P168,1,863158020787257,0
商业险费改后,车损险,27,2,6,P169,1,863158020781508,0
商业险费改后,三者险,27,2,6,P169,1,863158020781508,2
商业险费改后,三者险,33,1,4,P170,0.550684931506849,863158020787257,0
交强险,交强险,36,1,4,P171,1,863158020777951,0
商业险费改前,车损险,36,1,4,P172,1,863158020777951,0
商业险费改前,车上人员险驾驶,36,1,4,P172,1,863158020777951,0
商业险费改前,三者险,36,1,4,P172,1,863158020777951,0
商业险费改前,车上人员险乘客,36,1,4,P172,1,863158020777951,0
交强险,交强险,39,2,2,P173,1,863158020757144,0
交强险,交强险,39,2,3,P174,1,863158020757144,1
交强险,交强险,40,2,4,P175,0.512328767123288,863158020757144,0
商业险费改前,车损险,39,2,3,P176,0.575342465753425,863158020757144,2
商业险费改前,三者险,39,2,3,P176,0.575342465753425,863158020757144,1
商业险费改前,三者险,39,2,2,P177,1,863158020757144,0
商业险费改前,车损险,39,2,2,P177,1,863158020757144,0
商业险费改前,车损险,40,2,3,P178,0.942465753424658,863158020757144,1
商业险费改前,三者险,40,2,3,P178,0.942465753424658,863158020757144,0
交强险,交强险,35,1,3,P180,1,863158020777951,0
商业险费改前,车上人员险驾驶,34,1,3,P181,1,863158020777951,0
商业险费改前,车上人员险乘客,34,1,3,P181,1,863158020777951,0
商业险费改前,三者险,34,1,3,P181,1,863158020777951,0
商业险费改前,车损险,34,1,3,P181,1,863158020777951,0
交强险,交强险,37,1,3,P182,1,863158020783504,2
交强险,交强险,29,2,4,P183,1,863158020783504,0
交强险,交强险,39,1,5,P184,1,863158020783504,0
商业险费改前,玻璃破碎险,37,1,3,P185,1,863158020783504,0
商业险费改前,三者险,37,1,3,P185,1,863158020783504,2
商业险费改前,车损险,37,1,3,P185,1,863158020783504,2
商业险费改前,盗抢险,37,1,3,P185,1,863158020783504,0
商业险费改前,三者险,29,2,4,P186,1,863158020783504,0
商业险费改前,盗抢险,29,2,4,P186,1,863158020783504,0
商业险费改前,车损险,29,2,4,P186,1,863158020783504,0
商业险费改前,玻璃破碎险,29,2,4,P186,1,863158020783504,0
商业险费改后,三者险,39,1,5,P187,1,863158020783504,0
商业险费改后,车损险,39,1,5,P187,1,863158020783504,0
商业险费改后,玻璃破碎险,39,1,5,P187,1,863158020783504,0
交强险,交强险,31,2,6,P188,0.164383561643836,863158020783504,0
商业险费改后,车损险,31,2,6,P189,0.161643835616438,863158020783504,0
商业险费改后,三者险,31,2,6,P189,0.161643835616438,863158020783504,0
商业险费改后,玻璃破碎险,31,2,6,P189,0.161643835616438,863158020783504,0
交强险,交强险,40,1,2,P190,1,863158020781797,0
交强险,交强险,41,1,3,P191,1,863158020781797,0
交强险,交强险,42,1,4,P192,0.380821917808219,863158020781797,0
商业险费改前,三者险,40,1,2,P193,1,863158020781797,0
商业险费改后,三者险,41,1,3,P194,1,863158020781797,0
商业险费改后,三者险,42,1,4,P195,0.380821917808219,863158020781797,0
交强险,交强险,43,1,4,P196,1,863158026712465,0
交强险,交强险,50,1,2,P197,1,863158026720542,0
交强险,交强险,25,2,1,P198,1,863158026713646,0
交强险,交强险,44,2,4,P199,1,863158026717456,0
交强险,交强险,37,1,1,P200,1,863158026716540,1
交强险,交强险,41,2,1,P201,1,863158026735334,0
交强险,交强险,38,1,6,P202,1,863158026720609,0
交强险,交强险,33,2,1,P203,1,863158026735797,1
交强险,交强险,50,1,0,P204,1,863158026712143,0
交强险,交强险,30,1,7,P205,1,863158026717811,0
交强险,交强险,29,2,1,P206,1,863158026735383,0
交强险,交强险,34,1,2,P207,1,863158026736183,0
交强险,交强险,33,2,2,P208,1,863158026720898,0
交强险,交强险,42,2,4,P209,1,863158026711640,0
交强险,交强险,41,1,8,P210,1,863158026733958,0
