PN,policycode
863158026717647,P681
863158026717282,P682
863158026719015,P683
863158026717399,P684
863158026717647,P685
863158026720872,P686
863158026714131,P687
863158026727984,P688
863158026712523,P689
863158026715773,P690
863158026714016,P691
863158026712846,P692
863158026734071,P693
863158026717084,P694
863158026719460,P695
863158026708406,P696
863158026712598,P697
863158026735862,P698
863158026712648,P699
863158026735912,P700
863158026734055,P701
863158026734626,P702
863158026712531,P703
863158026714065,P704
863158026712416,P705
863158026714255,P706
863158026719783,P707
863158026718272,P708
863158020778082,P709
863158026718470,P710
863158026712465,P711
863158026721268,P712
863158026720542,P713
863158026720716,P714
863158026713646,P715
863158026734451,P716
863158026717233,P717
863158026734394,P718
863158026716920,P719
863158026735334,P720
863158026717456,P721
863158026720609,P722
863158026712143,P723
863158026717332,P724
863158026716870,P725
863158026735797,P726
863158026733958,P727
863158026717811,P728
863158026731689,P729
863158026717530,P730
863158026720898,P731
863158026718587,P732
863158026711640,P733
863158026735409,P734
863158026735201,P735
863158026736258,P736
863158026736241,P737
863158026735169,P738
863158026734899,P739
863158026736183,P740
863158026736209,P741
863158026735441,P742
863158026720484,P743
863158026721110,P744
863158026735029,P745
863158026713067,P746
863158026734345,P747
863158026735193,P748
863158026721052,P749
863158026716649,P750
863158026735110,P751
863158026735847,P752
863158026734923,P753
863158026735268,P754
863158026735219,P755
863158026735888,P756
863158026717787,P757
863158026734899,P758
863158026735169,P759
863158026720518,P760
863158026735714,P761
863158026734790,P762
863158026734758,P763
863158026735680,P764
863158026720906,P765
863158026735342,P766
863158026721367,P767
863158026735409,P768
863158026735367,P769
863158026735268,P770
863158026735227,P771
863158026735516,P772
863158026735904,P773
863158026735946,P774
863158026717258,P775
863158026718769,P776
863158026735664,P777
863158026721201,P778
863158026718330,P779
863158026733909,P780
863158026735375,P781
863158026735276,P782
863158026721367,P783
863158026721292,P784
863158026732299,P785
863158026733917,P786
863158026735680,P787
863158026719247,P788
863158026718223,P789
863158026719395,P790
863158026735946,P791
863158026719163,P792
863158026735698,P793
863158026712762,P794
863158026734840,P795
863158026734972,P796
863158026735672,P797
863158026735094,P798
863158026717126,P799
863158026721235,P800
863158026711905,P801
863158026719023,P802
863158026717183,P803
863158026735482,P804
863158026711913,P805
863158026713091,P806
863158026711186,P807
863158026716904,P808
863158026716961,P809
863158026719023,P810
863158026735540,P811
863158026720625,P812
863158026735243,P813
863158026734832,P814
863158026712473,P815
863158026720203,P816
863158026719676,P817
863158026727984,P818
863158026714248,P819
863158026719288,P820
863158026735292,P821
863158026719841,P822
863158026731366,P823
863158026718108,P824
863158026735920,P825
863158026721474,P826
863158026719262,P827
863158026719668,P828
863158026719882,P829
863158026721433,P830
863158026718348,P831
863158026714131,P832
863158026719015,P833
863158026717548,P834
863158026719692,P835
863158026713927,P836
863158026718363,P837
863158026719262,P838
863158026712523,P839
863158026713117,P840
863158026719973,P841
863158026717647,P842
863158026718215,P843
863158026734733,P844
863158026712549,P845
863158026720872,P846
863158026712523,P847
863158026717084,P848
863158026717282,P849
863158026717647,P850
863158026713083,P851
863158026712457,P852
863158026718017,P853
863158026735318,P854
863158026717399,P855
863158026714016,P856
863158026717142,P857
863158026734337,P858
863158026715773,P859
863158026712846,P860
863158026734071,P861
863158026719460,P862
863158026718793,P863
863158026712648,P864
863158026708406,P865
863158026712598,P866
863158026719783,P867
863158026714065,P868
863158026718272,P869
863158026712465,P870
863158026734451,P871
863158026721268,P872
863158026720542,P873
863158026717233,P874
863158026713646,P875
863158026717456,P876
863158026718736,P877
863158026713323,P878
863158026720609,P879
863158026720898,P880
863158026733958,P881
863158026712143,P882
863158026735110,P883
863158026721052,P884
863158026718223,P885
863158026711905,P886
863158026717530,P887
863158026736183,P888
863158026735342,P889
863158026734832,P890
863158026735482,P891
863158026713091,P892
863158026735201,P893
863158026735342,P894
863158026717811,P895
863158026720484,P896
863158026735904,P897
863158026735698,P898
863158026712762,P899
863158026735409,P900
863158026716649,P901
863158026711640,P902
863158026717787,P903
863158026735847,P904
863158026735169,P905
863158026734899,P906
863158026712549,P907
863158026735409,P908
863158026734758,P909
863158026720625,P910
863158026735664,P911
863158026719692,P912
863158026719973,P913
863158026735409,P914
863158026713067,P915
863158026735714,P916
863158026718330,P917
863158026734923,P918
863158026735847,P919
863158026735441,P920
863158026734972,P921
863158026717258,P922
863158026719395,P923
863158026735680,P924
863158026717282,P925
863158026718769,P926
863158026731366,P927
863158026718108,P928
863158026719247,P929
863158026712473,P930
863158026720906,P931
863158026717399,P932
863158026735920,P933
863158026720203,P934
863158026735268,P935
863158026719023,P936
863158026735276,P937
863158026735946,P938
863158026735888,P939
863158026721292,P940
863158026733917,P941
863158026711186,P942
863158026720484,P943
863158026721110,P944
863158026735375,P945
863158026717126,P946
863158026713927,P947
863158026732299,P948
863158026719163,P949
863158026717647,P950
863158026734733,P951
863158026735243,P952
863158026714131,P953
863158026719668,P954
863158026721367,P955
863158026713083,P956
863158026719262,P957
863158026719973,P958
863158026735946,P959
863158026727984,P960
863158026719015,P961
863158026721474,P962
863158026719882,P963
863158026712523,P964
863158026735946,P965
863158026718215,P966
863158026735219,P967
863158026735367,P968
863158026734899,P969
863158026735169,P970
863158026713117,P971
863158026717084,P972
863158026718017,P973
863158026719288,P974
863158026733909,P975
863158026735516,P976
863158026715773,P977
863158026714016,P978
863158026719460,P979
863158026718793,P980
863158026712846,P981
863158026712598,P982
863158026712648,P983
863158026708406,P984
863158026714065,P985
863158026714255,P986
863158026714065,P987
863158026719353,P988
863158026718272,P989
863158026719783,P990
863158026712465,P991
863158026734451,P992
863158026714107,P993
863158026713646,P994
863158026717456,P995
863158026713323,P996
863158026736183,P997
863158026735847,P998
863158026736183,P999
863158026735110,P1000
863158026735342,P1001
863158026735201,P1002
863158026719163,P1003
863158026711905,P1004
863158026716649,P1005
863158026717530,P1006
863158026720203,P1007
863158026734899,P1008
863158026735169,P1009
863158026735441,P1010
863158026735698,P1011
863158026735169,P1012
863158026717183,P1013
863158026735904,P1014
863158026712549,P1015
863158026734972,P1016
863158026720625,P1017
863158026735268,P1018
863158026735268,P1019
863158026735482,P1020
863158026719973,P1021
863158026717738,P1022
863158026735326,P1023
863158026735326,P1024
863158026717738,P1025
863158026714396,P1026
863158026735326,P1027
863158026717738,P1028
863158026714396,P1029
863158026717738,P1030
863158026735326,P1031
863158026717738,P1032
863158026735326,P1033
863158026735326,P1034
863158026735326,P1035
863158026717738,P1036
863158026717738,P1037
863158026714396,P1038
863158026714396,P1039
863158026717738,P1040
863158026735326,P1041
863158026735862,P1042
863158026735862,P1043
863158026714107,P1044
863158026717233,P1045
863158026734394,P1046
863158026716748,P1047
863158026713323,P1048
863158026717332,P1049
863158026731689,P1050
863158026718736,P1051
863158026716748,P1052
863158026736019,P1053
863158026734790,P1054
863158026714248,P1055
863158026735318,P1056
863158026714107,P1057
863158026717233,P1058
863158026734394,P1059
863158026716748,P1060
863158026717332,P1061
863158026731689,P1062
863158026716748,P1063
863158026736019,P1064
863158026718736,P1065
863158026734790,P1066
863158026714248,P1067
863158026735318,P1068
863158026735862,P1069
863158026735862,P1070
863158026716540,P1071
863158026717654,P1072
863158026735383,P1073
863158026733941,P1074
863158026734584,P1075
863158026712945,P1076
863158026734055,P1077
863158026734626,P1078
863158026735334,P1079
863158026716540,P1080
863158026735383,P1081
863158026733941,P1082
863158026734584,P1083
863158026734055,P1084
863158026716540,P1085
863158026720609,P1086
863158026736167,P1087
863158026735383,P1088
863158026712945,P1089
863158026716540,P1090
863158026717654,P1091
863158026736167,P1092
863158026735383,P1093
863158026733941,P1094
863158026734584,P1095
863158026734055,P1096
863158026734626,P1097
863158026735334,P1098
863158026716540,P1099
863158026735383,P1100
863158026733941,P1101
863158026733941,P1102
863158026734584,P1103
863158026734055,P1104
863158026716540,P1105
863158026720609,P1106
863158026736167,P1107
863158026735383,P1108
863158020785921,P1109
863158020785921,P1110
863158020785921,P1111
863158020785921,P1112
863158020787299,P1113
863158020787299,P1114
863158020787299,P1115
863158020787299,P1116
863158020787299,P1117
863158020787299,P1118
863158020787299,P1119
863158020787299,P1120
863158020777779,P1121
863158020784767,P1122
863158020784767,P1123
863158020784767,P1124
863158020784767,P1125
863158020784767,P1126
863158020784767,P1127
863158020784767,P1128
863158020777779,P1129
863158020777779,P1130
863158020777779,P1131
863158020777779,P1132
863158020777779,P1133
863158020777779,P1134
863158020777779,P1135
863158020785921,P1136
863158020785921,P1137
863158026716359,P1138
863158026716359,P1139
863158020784718,P1140
863158020782514,P1141
863158020782514,P1142
863158020784718,P1143
863158020783066,P1144
863158020782514,P1145
863158020783066,P1146
863158020782514,P1147
863158020783066,P1148
863158020782514,P1149
863158020783066,P1150
863158020782514,P1151
863158020782514,P1152
863158020784718,P1153
863158020784718,P1154
863158020782514,P1155
863158026712051,P1156
863158026712051,P1157
863158020783066,P1158
863158020783066,P1159
863158020786887,P1160
863158020786887,P1161
863158020786887,P1162
863158020786887,P1163
863158020782175,P1164
863158020786887,P1165
863158020782175,P1166
863158020786887,P1167
863158020783579,P1168
863158020783579,P1169
863158020782175,P1170
863158020786887,P1171
863158020783579,P1172
863158020783579,P1173
863158020782175,P1174
863158020786887,P1175
863158020783579,P1176
863158020783579,P1177
863158020786069,P1178
863158020786069,P1179
863158020786069,P1180
863158020786069,P1181
863158020786069,P1182
863158020786069,P1183
863158020778157,P1184
863158020778157,P1185
863158020778157,P1186
863158020778157,P1187
863158026707226,P1188
863158026710352,P1189
863158026713638,P1190
863158026727802,P1191
863158026704082,P1192
863158026717225,P1193
863158026710022,P1194
863158026707010,P1195
863158026717662,P1196
863158026708505,P1197
863158026719312,P1198
866699027795436,P1199
863158026734691,P1200
863158026719452,P1201
863158026722761,P1202
863158026706905,P1203
866699027796087,P1204
863158026718546,P1205
863158026719221,P1206
863158026714487,P1207
863158026723678,P1208
863158026713489,P1209
863158026714115,P1210
863158026721011,P1211
863158026703043,P1212
866699027796079,P1213
863158026721045,P1214
863158026714958,P1215
863158026717571,P1216
863158026723710,P1217
863158026729493,P1218
863158026711160,P1219
863158026723280,P1220
863158026711442,P1221
863158026723843,P1222
863158026718801,P1223
863158026701765,P1224
863158026728016,P1225
866699027795154,P1226
863158026711137,P1227
863158026724163,P1228
863158026725657,P1229
863158026731143,P1230
863158026727810,P1231
863158026719213,P1232
863158026720880,P1233
863158026730327,P1234
863158026720419,P1235
863158026706459,P1236
863158026732471,P1237
863158026712192,P1238
863158026718439,P1239
866699027788084,P1240
863158026720021,P1241
866699027788126,P1242
863158026728511,P1243
863158026727083,P1244
863158026722852,P1245
863158026713943,P1246
863158026715435,P1247
863158026703993,P1248
863158026725806,P1249
863158026711368,P1250
863158026709073,P1251
863158026719007,P1252
863158026721086,P1253
863158026725772,P1254
863158026725970,P1255
863158026732323,P1256
863158026717050,P1257
863158026732281,P1258
863158026720468,P1259
863158026720989,P1260
863158026720401,P1261
863158026719601,P1262
863158026710667,P1263
863158026710717,P1264
863158026706558,P1265
863158026723041,P1266
863158026732943,P1267
863158026730574,P1268
863158026718462,P1269
863158026728321,P1270
863158026715724,P1271
863158026722951,P1272
863158026728628,P1273
863158026720823,P1274
866699027789090,P1275
863158026725947,P1276
863158026732547,P1277
863158026730012,P1278
863158026727000,P1279
863158026728768,P1280
863158026722472,P1281
863158026711855,P1282
863158026716334,P1283
863158026708968,P1284
863158026719130,P1285
863158026720955,P1286
863158026731119,P1287
863158026707226,P1288
863158026728446,P1289
863158026719437,P1290
863158026726499,P1291
863158026734402,P1292
863158026718843,P1293
863158026711723,P1294
863158026727802,P1295
863158026712507,P1296
863158026721664,P1297
863158026710352,P1298
863158026720864,P1299
863158026722779,P1300
863158026727471,P1301
863158026720112,P1302
863158026713638,P1303
863158026718496,P1304
863158026713208,P1305
863158026714180,P1306
863158026725434,P1307
863158026734691,P1308
863158026707143,P1309
866699027795436,P1310
863158026707010,P1311
863158026708505,P1312
863158026710022,P1313
863158026719452,P1314
863158026717225,P1315
863158026712770,P1316
863158026704082,P1317
863158026722076,P1318
863158026723876,P1319
863158026721011,P1320
863158026719312,P1321
863158026722761,P1322
863158026701765,P1323
863158026712226,P1324
866699027796087,P1325
863158026715674,P1326
863158026718199,P1327
863158026718546,P1328
863158026728644,P1329
863158026716771,P1330
863158026706905,P1331
863158026723678,P1332
863158026714487,P1333
863158026719221,P1334
863158026714115,P1335
863158026729683,P1336
863158026730376,P1337
863158026705626,P1338
863158026729956,P1339
863158026723488,P1340
863158026721045,P1341
863158026703076,P1342
863158026720260,P1343
863158026727547,P1344
863158026719684,P1345
863158026713489,P1346
863158026714958,P1347
863158026712192,P1348
866699027796079,P1349
863158026717571,P1350
863158026723280,P1351
863158026725939,P1352
863158026703043,P1353
863158026711160,P1354
863158026723710,P1355
863158026730095,P1356
863158026721482,P1357
863158026723843,P1358
863158026708836,P1359
863158026719213,P1360
863158026718801,P1361
863158026717928,P1362
863158026711442,P1363
863158026711137,P1364
863158026711608,P1365
863158026729493,P1366
866699027795154,P1367
863158026727810,P1368
863158026724163,P1369
863158026724932,P1370
863158026723272,P1371
863158026721714,P1372
863158026715294,P1373
863158026731143,P1374
863158026720419,P1375
863158026730327,P1376
863158026708752,P1377
863158026720021,P1378
863158026721300,P1379
863158026720880,P1380
863158026724551,P1381
863158026706459,P1382
863158026718439,P1383
866699027788084,P1384
863158026720344,P1385
863158026720831,P1386
863158026727083,P1387
863158026719429,P1388
863158026709065,P1389
866699027788126,P1390
863158026725657,P1391
863158026728511,P1392
863158026711368,P1393
863158026716623,P1394
863158026713018,P1395
863158026713992,P1396
863158026719320,P1397
863158026717050,P1398
863158026726515,P1399
863158026714644,P1400
863158026734295,P1401
863158026719270,P1402
863158026730772,P1403
863158026726770,P1404
863158026717944,P1405
863158026716375,P1406
863158026732471,P1407
863158026710659,P1408
863158026721615,P1409
863158026730665,P1410
863158026701617,P1411
863158026715435,P1412
863158026709073,P1413
863158026710717,P1414
863158026728529,P1415
863158026703993,P1416
863158026725806,P1417
863158026722852,P1418
863158026728628,P1419
863158026732323,P1420
863158026725970,P1421
863158026721086,P1422
863158026719007,P1423
863158026713943,P1424
863158026725772,P1425
863158026709479,P1426
863158026720401,P1427
863158026710667,P1428
863158026732281,P1429
863158026731119,P1430
863158026719601,P1431
863158026728321,P1432
863158026732943,P1433
863158026730574,P1434
863158026720468,P1435
863158026720989,P1436
863158026722951,P1437
863158026715724,P1438
863158026720823,P1439
863158026718462,P1440
863158026723041,P1441
866699027789090,P1442
863158026706558,P1443
863158026703068,P1444
863158026732547,P1445
863158026728768,P1446
863158026725947,P1447
863158026722472,P1448
863158026719130,P1449
863158026727000,P1450
863158026722795,P1451
863158026716334,P1452
863158026718843,P1453
863158026711855,P1454
863158026707226,P1455
863158026719437,P1456
863158026730368,P1457
863158026728446,P1458
863158026726499,P1459
863158026720112,P1460
863158026718496,P1461
863158026711723,P1462
863158026721664,P1463
863158026722779,P1464
863158026717662,P1465
863158026713638,P1466
863158026720864,P1467
863158026714180,P1468
863158026710352,P1469
863158026727471,P1470
863158026734402,P1471
863158026707143,P1472
863158026704082,P1473
863158026707010,P1474
863158026717225,P1475
863158026725434,P1476
863158026722076,P1477
863158026723876,P1478
863158026734691,P1479
863158026710022,P1480
863158026712770,P1481
863158026708505,P1482
863158026718199,P1483
863158026719452,P1484
863158026715674,P1485
863158026707028,P1486
866699027796087,P1487
863158026720260,P1488
863158026718546,P1489
863158026705626,P1490
863158026722761,P1491
863158026714487,P1492
863158026719221,P1493
863158026706905,P1494
863158026721011,P1495
863158026723678,P1496
863158026701765,P1497
863158026729683,P1498
